"","year","site","transect","plantID","h_apical","h_apical.next","stem_width","aliveJune","surv","fec.flower","N_pods","seedling","munched","per.leaves.dam","herb_avg","logit_herb_avg"
"1",2016,"BLD2",45,"4501",46.5,NA,6.1,1,0,0,0,0,0,NA,0,NA
"2",2016,"BLD2",45,"4502",63.7,76.8,8,1,1,0,0,0,0,NA,0,NA
"3",2016,"BLD2",45,"4503",75.6,94.3,12.4,1,1,1,0,0,0,NA,0,NA
"4",2016,"BLD2",45,"4504",54.7,64.7,6.8,1,1,0,0,0,0,NA,0,NA
"5",2016,"BLD2",45,"4505",51.2,NA,7.9,1,0,0,0,0,0,NA,0,NA
"6",2016,"BLD2",45,"4506",53.3,53.8,6.5,1,1,0,0,0,0,NA,0,NA
"7",2016,"BLD2",45,"4507",41.8,53.1,7.1,1,1,0,0,0,0,NA,0,NA
"8",2016,"BLD2",45,"4510",54.2,NA,5.1,1,0,0,0,0,0,NA,0,NA
"9",2016,"BLD2",45,"4511",62.4,79.3,11.7,1,1,1,0,0,1,NA,0.0833333333333333,-4.26267987704132
"10",2016,"BLD2",45,"4512",50.1,65.5,6,1,1,0,0,0,0,NA,0,NA
"11",2016,"BLD2",45,"4513",59.4,77.4,8.9,1,1,0,0,0,0,NA,0,NA
"12",2016,"BLD2",45,"4514",56.6,77,9.2,1,1,0,0,0,0,NA,0,NA
"13",2016,"BLD2",45,"4515",NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA
"14",2016,"BLD2",45,"4516",19.7,NA,1.6,1,0,0,0,1,1,NA,0.2,-3.36729582998647
"15",2016,"BLD2",45,"4517",61.4,87.7,11,1,1,0,0,0,0,NA,0,NA
"16",2016,"BLD2",45,"4518",64.6,82.5,8.2,1,1,0,0,0,1,NA,0.363636363636364,-2.7408400239252
"17",2016,"BLD2",45,"4519",82,89.5,15.5,1,1,1,0,0,0,NA,0,NA
"18",2016,"BLD2",45,"4520",69.3,91.4,8.6,1,1,1,0,0,0,NA,0,NA
"19",2016,"BLD2",45,"4521",78.3,99.8,12.4,1,1,1,0,0,0,NA,0,NA
"20",2016,"BLD2",45,"4522",31.3,NA,3.8,1,0,0,0,0,0,NA,0,NA
"21",2016,"BLD2",45,"4523",42.2,NA,5.9,1,0,0,0,0,1,NA,0.1,-4.07753744390572
"22",2016,"BLD2",45,"4524",46.6,NA,6.6,1,0,1,0,0,0,NA,0,NA
"23",2016,"BLD2",45,"4525",30.1,NA,5.6,1,0,0,0,0,0,NA,0,NA
"24",2016,"BLD2",45,"4526",35.5,45.8,5.3,1,1,0,0,0,1,NA,0.125,-3.85014760171006
"25",2016,"BLD2",45,"4527",49.7,53.1,6.6,1,1,0,0,0,0,NA,0,NA
"26",2016,"BLD2",45,"4528",52.3,NA,6.5,1,0,0,0,0,1,NA,0.2,-3.36729582998647
"27",2016,"BLD2",45,"4529",67.9,77.6,12.2,1,1,1,0,0,0,NA,0,NA
"28",2016,"BLD2",45,"4530",58.1,59.1,8.1,1,1,0,0,0,0,NA,0,NA
"29",2016,"BLD2",45,"4531",42.3,NA,4.4,1,0,0,0,0,0,NA,0,NA
"30",2016,"BLD2",45,"4532",64,NA,8.5,1,0,0,0,0,0,NA,0,NA
"31",2016,"BLD2",45,"4533",64.8,73.2,9.4,1,1,0,0,0,0,NA,0,NA
"32",2016,"BLD2",45,"4534",55.1,71.5,7.1,1,1,0,0,0,0,NA,0,NA
"33",2016,"BLD2",45,"4535",46.2,59.3,6.7,1,1,0,0,0,0,NA,0,NA
"34",2016,"BLD2",45,"4536",49.7,51.4,4.8,1,1,0,0,0,0,NA,0,NA
"35",2016,"BLD2",45,"4537",41.8,NA,3.5,1,0,0,0,0,1,NA,0.1,-4.07753744390572
"36",2016,"BLD2",45,"4538",56.3,67.7,12.6,1,1,0,0,0,1,NA,0.25,-3.13549421592915
"37",2016,"BLD2",45,"4539",54.7,62.8,12.9,1,1,1,0,0,1,NA,0.2,-3.36729582998647
"38",2016,"BLD2",45,"4540",49.7,NA,7.1,1,0,0,0,0,1,NA,0.583333333333333,-2.22847712084032
"39",2016,"BLD2",45,"4541",52.2,NA,7,1,0,0,0,0,0,NA,0,NA
"40",2016,"BLD2",45,"4542",39.7,NA,4,1,0,0,0,0,1,NA,0.166666666666667,-3.55534806148941
"41",2016,"BLD2",45,"4543",60,78.2,11.1,1,1,1,0,0,0,NA,0,NA
"42",2016,"BLD2",45,"4544",38.9,NA,4,1,0,0,0,0,0,NA,0,NA
"43",2016,"BLD2",45,"4545",51.9,NA,6.4,1,0,0,0,0,0,NA,0,NA
"44",2016,"BLD2",45,"4546",77.7,81.2,11.3,1,1,1,0,0,0,NA,0,NA
"45",2016,"BLD2",45,"4547",64.6,77.5,8.9,1,1,1,0,0,1,NA,0.166666666666667,-3.55534806148941
"46",2016,"BLD2",45,"4548",52.8,NA,6.1,1,0,0,0,0,0,NA,0,NA
"47",2016,"BLD2",45,"4549",62.4,65,8.8,1,1,1,0,0,0,NA,0,NA
"48",2016,"BLD2",45,"4550",65.4,81.9,10.6,1,1,1,0,0,0,NA,0,NA
"49",2016,"BLD2",45,"4552",32.3,NA,3.6,1,0,0,0,0,0,NA,0,NA
"50",2016,"BLD2",45,"4553",NA,NA,NA,1,0,0,0,NA,NA,NA,NA,NA
"51",2016,"BLD2",45,"4554",39.4,NA,4.9,1,0,0,0,0,0,NA,0,NA
"52",2016,"BLD2",45,"4555",48.5,NA,6.2,1,0,0,0,0,1,NA,0.2,-3.36729582998647
"53",2016,"BLD2",45,"4556",54.5,67.2,6.8,1,1,0,0,0,0,NA,0,NA
"54",2016,"BLD2",45,"4558",34.9,NA,4.9,1,0,0,0,0,1,NA,0.6,-2.19722457733622
"55",2016,"BLD2",45,"4559",71.5,89.7,9.9,1,1,1,0,0,0,NA,0,NA
"56",2016,"BLD2",45,"4560",68.1,78.5,8.1,1,1,1,0,0,0,NA,0,NA
"57",2016,"BLD2",45,"4561",49.8,NA,4.8,1,0,0,0,0,1,NA,0.333333333333333,-2.83321334405622
"58",2016,"BLD2",45,"4562",68.2,81.8,11.2,1,1,1,0,0,0,NA,0,NA
"59",2016,"BLD2",45,"4563",64.3,72.1,7.3,1,1,0,0,0,1,NA,0.5,-2.39789527279837
"60",2016,"BLD2",45,"4564",28.6,NA,3.5,1,0,0,0,0,1,NA,0.285714285714286,-2.99573227355399
"61",2016,"BLD2",46,"4601",62.9,NA,7.2,1,0,0,0,0,1,NA,0.0909090909090909,-4.17438726989564
"62",2016,"BLD2",46,"4602",90.9,112,12.5,1,1,1,0,0,0,NA,0,NA
"63",2016,"BLD2",46,"4603",62.3,70.8,11.2,1,1,0,0,0,1,NA,0.333333333333333,-2.83321334405622
"64",2016,"BLD2",46,"4604",57.4,NA,8.6,1,0,0,0,0,0,NA,0,NA
"65",2016,"BLD2",46,"4605",61.4,68,10.6,1,1,0,0,0,0,NA,0,NA
"66",2016,"BLD2",46,"4606",35.8,NA,6.8,1,0,0,0,0,0,NA,0,NA
"67",2016,"BLD2",47,"4700",54.5,NA,4.6,1,0,1,0,0,1,NA,0.0833333333333333,-4.26267987704132
"68",2016,"BLD2",47,"4701",17.9,NA,2.2,1,0,0,0,1,NA,NA,NA,NA
"69",2016,"BLD2",47,"4702",82.4,NA,7.2,1,0,1,0,0,1,NA,0.133333333333333,-3.78418963391826
"70",2016,"BLD2",47,"4703",69.9,NA,7.3,1,0,1,0,0,1,NA,0.142857142857143,-3.71357206670431
"71",2016,"BLD2",47,"4705",47.6,NA,8.5,1,0,1,0,0,0,NA,0,NA
"72",2016,"BLD2",47,"4706",57.1,NA,7.4,1,0,1,0,0,0,NA,0,NA
"73",2016,"BLD2",47,"4707",83,83.8,9.4,1,1,1,0,0,0,NA,0,NA
"74",2016,"BLD2",47,"4708",59.7,62.4,7.1,1,1,1,0,0,0,NA,0,NA
"75",2016,"BLD2",47,"4709",71.9,75,9.4,1,1,1,0,0,0,NA,0,NA
"76",2016,"BLD2",47,"4710",70.3,83.1,8,1,1,1,0,0,0,NA,0,NA
"77",2016,"BLD2",47,"4711",37.9,NA,4.8,1,0,0,0,0,0,NA,0,NA
"78",2016,"BLD2",47,"4712",70.3,72.6,11.6,1,1,1,0,0,1,NA,0.1,-4.07753744390572
"79",2016,"BLD2",47,"4713",70.2,79.8,12.1,1,1,1,0,0,1,NA,0.111111111111111,-3.97029191355212
"80",2016,"BLD2",47,"4714",89.3,NA,11.3,1,0,1,0,0,1,NA,0.15,-3.66356164612965
"81",2016,"BLD2",47,"4715",61.8,NA,7.6,1,0,1,0,0,0,NA,0,NA
"82",2016,"BLD2",47,"4716",80.2,NA,8,1,0,1,0,0,0,NA,0,NA
"83",2016,"BLD2",47,"4717",NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA
"84",2016,"BLD2",47,"4718",NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA
"85",2016,"BLD2",47,"4719",69.6,NA,8.8,1,0,1,0,0,1,NA,0.333333333333333,-2.83321334405622
"86",2016,"BLD2",47,"4720",77.3,79,9.5,1,1,1,0,0,1,NA,0.3125,-2.90142159408275
"87",2016,"BLD2",47,"4721",83.2,NA,14.1,1,0,1,0,0,1,NA,0.380952380952381,-2.69124308278583
"88",2016,"BLD2",47,"4722",48.1,NA,4.2,1,0,0,0,0,1,NA,1.11111111111111,-1.48160454092422
"89",2016,"BLD2",47,"4723",52.7,NA,4.1,1,0,0,0,0,1,NA,0.25,-3.13549421592915
"90",2016,"BLD2",47,"4724",73.2,78.8,7.9,1,1,1,0,0,0,NA,0,NA
"91",2016,"BLD2",47,"4726",92.4,106,12.9,1,1,1,0,0,1,NA,0.157894736842105,-3.61091791264422
"92",2016,"BLD2",47,"4727",61.4,NA,7.4,1,0,1,0,0,1,NA,0.0714285714285714,-4.4188406077966
"93",2016,"BLD2",47,"4728",50.8,NA,5,1,0,0,0,0,0,NA,0,NA
"94",2016,"BLD2",47,"4729",17.1,NA,4.4,1,0,0,0,0,0,NA,0,NA
"95",2016,"BLD2",47,"4730",35.4,NA,3.4,1,0,0,0,0,1,NA,0.25,-3.13549421592915
"96",2016,"BLD2",47,"4731",50.7,NA,5.4,1,0,1,0,0,1,NA,1.21428571428571,-1.37147927533475
"97",2016,"BLD2",47,"4732",68.7,NA,8.6,1,0,1,0,0,1,NA,0.133333333333333,-3.78418963391826
"98",2016,"BLD2",47,"4733",85.5,NA,11.4,1,0,1,0,0,0,NA,0,NA
"99",2016,"BLD2",47,"4734",64.6,NA,7.1,1,0,1,0,0,1,NA,0.333333333333333,-2.83321334405622
"100",2016,"BLD2",47,"4735",46.3,NA,3.8,1,0,0,0,0,1,NA,0.5,-2.39789527279837
"101",2016,"BLD2",47,"4736",82.3,NA,11.4,1,0,1,0,0,0,NA,0,NA
"102",2016,"BLD2",47,"4737",78.4,NA,8.7,1,0,1,0,0,1,NA,0.176470588235294,-3.49650756146648
"103",2016,"BLD2",47,"4738",42.2,NA,3.9,1,0,0,0,0,1,NA,0.125,-3.85014760171006
"104",2016,"BLD2",47,"4739",56.4,NA,4.6,1,0,1,0,0,1,NA,0.0833333333333333,-4.26267987704132
"105",2016,"BLD2",47,"4740",56.6,NA,5.8,1,0,0,0,0,0,NA,0,NA
"106",2016,"BLD2",47,"4741",77.3,NA,10.7,1,0,1,0,0,0,NA,0,NA
"107",2016,"BLD2",47,"4742",43.9,NA,4.2,1,0,0,0,0,1,NA,0.125,-3.85014760171006
"108",2016,"BLD2",47,"4743",44.6,NA,4,1,0,0,0,0,0,NA,0,NA
"109",2016,"BLD2",47,"4744",50.5,NA,5,1,0,1,0,0,1,NA,0.363636363636364,-2.7408400239252
"110",2016,"BLD2",47,"4745",70.8,NA,9.2,1,0,1,0,0,1,NA,0.0666666666666667,-4.48863636973214
"111",2016,"BLD2",47,"4746",57.2,78.2,7.7,1,1,1,0,0,1,NA,0.1875,-3.43398720448515
"112",2016,"BLD2",47,"4747",12.7,NA,2.1,1,0,0,0,1,NA,NA,NA,NA
"113",2016,"BLD2",47,"4748",35.4,NA,1.9,1,0,0,0,1,1,NA,0.142857142857143,-3.71357206670431
"114",2016,"BLD2",47,"4749",47.4,NA,2.9,1,0,0,0,1,1,NA,0.4,-2.63905732961526
"115",2016,"BLD2",47,"4750",38.5,NA,3.4,1,0,0,0,0,1,NA,0.333333333333333,-2.83321334405622
"116",2016,"BLD2",47,"4751",75.7,NA,9.1,1,0,1,0,0,1,NA,0.352941176470588,-2.77258872223978
"117",2016,"BLD2",47,"4752",61,NA,6,1,0,1,0,0,1,NA,0.5,-2.39789527279837
"118",2016,"BLD2",47,"4753",75.9,NA,8.5,1,0,1,0,0,0,NA,0,NA
"119",2016,"BLD2",47,"4754",NA,NA,NA,1,0,0,0,NA,NA,NA,NA,NA
"120",2016,"BLD2",47,"4755",66.2,NA,9,1,0,1,0,0,1,NA,0.0769230769230769,-4.34380542185368
"121",2016,"BLD2",47,"4756",70.8,NA,8.8,1,0,1,0,0,1,NA,1,-1.6094379124341
"122",2016,"BLD2",47,"4757",43.2,NA,5.4,1,0,0,0,0,1,NA,1.22222222222222,-1.36330484289519
"123",2016,"BLD2",47,"4758",48.7,NA,6.2,1,0,0,0,0,0,NA,0,NA
"124",2016,"BLD2",47,"4759",38.1,NA,3.5,1,0,0,0,0,0,NA,0,NA
"125",2016,"BLD2",47,"4760",26.8,NA,2.6,1,0,0,0,1,0,NA,0,NA
"126",2016,"BLD2",47,"4761",87.5,NA,12.9,1,0,1,0,0,0,NA,0,NA
"127",2016,"BLD2",47,"4762",76.4,NA,9.5,1,0,1,0,0,1,NA,0.25,-3.13549421592915
"128",2016,"BLD2",47,"4763",61.7,NA,6.2,1,0,1,0,0,1,NA,0.0833333333333333,-4.26267987704132
"129",2016,"BLD2",47,"4764",NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"130",2016,"BLD2",47,"4765",NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"131",2016,"BLD2",47,"4766",NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"132",2016,"BLD2",47,"4767",NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"133",2016,"BLD2",47,"4768",NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"134",2016,"BLD2",47,"4769",NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"135",2016,"BLD2",47,"4770",63,NA,5.8,1,0,1,0,0,1,NA,0.307692307692308,-2.91777073208428
"136",2016,"BLD2",47,"seedlingA",5.5,NA,0.9,1,0,0,0,1,NA,NA,NA,NA
"137",2016,"BLD1",40,"4001",27.6,NA,2.2,1,0,0,0,1,0,NA,0,NA
"138",2016,"BLD1",40,"4002",46.5,NA,5.1,1,0,0,0,0,0,NA,0,NA
"139",2016,"BLD1",40,"4003",28.2,NA,1.5,1,0,0,0,1,0,NA,0,NA
"140",2016,"BLD1",40,"4004",63.6,66.2,8.4,1,1,0,0,0,1,NA,0.4,-2.63905732961526
"141",2016,"BLD1",40,"4005",8.3,NA,1.1,1,0,0,0,1,NA,NA,NA,NA
"142",2016,"BLD1",40,"4006",67.1,71.5,10.1,1,1,0,0,0,0,NA,0,NA
"143",2016,"BLD1",40,"4007",54.8,56.6,7.9,1,1,1,0,0,0,NA,0,NA
"144",2016,"BLD1",40,"4008",33.6,42.8,6.2,1,1,0,0,0,1,NA,0.375,-2.70805020110221
"145",2016,"BLD1",40,"4009",71.8,76.4,11.3,1,1,0,0,0,0,NA,0,NA
"146",2016,"BLD1",40,"4010",45.9,62,6.8,1,1,0,0,0,1,NA,0.166666666666667,-3.55534806148941
"147",2016,"BLD1",40,"4011",18.4,NA,3,1,0,0,0,0,NA,NA,NA,NA
"148",2016,"BLD1",40,"4012",73.2,78.9,10.2,1,1,1,0,0,0,NA,0,NA
"149",2016,"BLD1",40,"4013",9.8,NA,2.6,1,0,0,0,1,NA,NA,NA,NA
"150",2016,"BLD1",40,"4014",33.4,NA,2.7,1,0,0,0,1,0,NA,0,NA
"151",2016,"BLD1",40,"4015",56.3,64.1,7.4,1,1,0,0,0,1,NA,0.357142857142857,-2.76000994003292
